[0525/155205.620:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x254400196e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155206.504:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x254400196e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/155444.224:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ac0226c000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155450.657:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ac0019d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155451.045:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ac0019d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155451.877:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ac0226c000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/155618.662:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4dec0019ee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155624.122:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4dec00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155624.617:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4dec00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155624.949:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4dec00199400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
